question_id,description,choices,
Q01,National anthem 119.5s,O/U,
Q02,Coin Toss,H/T,
Q03,Winner of coin toss,SEA/NE,
Q04,Q1 Points 7.5,O/U,
Q05,Q2 Points 13.5,O/U,
Q06,Q3 Points 9.5,O/U,
Q07,Q4 Points 12.5,O/U,
Q08,Game Total 45.5,O/U,
Q09,Total TDs 5.5,O/U,
Q10,Total FGs 3.5,O/U,
Q11,Total INTs 1.5,O/U,
Q12,Total FUMs lost 1.5,O/U,
Q13,Total Sacks 5.5,O/U,
Q14,Total Punts 7.5,O/U,
Q15,Total FDOWNS 39.5,O/U,
Q16,Sam Arnold Completions 19.5,O/U,
Q17,Kennet Walker III Rush Yards 73.5,O/U,
Q18,Jaxon Smith-Njigba receptions 6.5,O/U,
Q19,Cooper Kupp touchdowns 0.5,O/U,
Q20,Rashid Shaheed receiving yards 21.5,O/U,
Q21,Sam Darnold passing yards 231.5,O/U,
Q22,Ernest Jones IV solo + assisted tackles 8.5,O/U,
Q23,DeMarcus Lawrence sacks 0.5,O/U,
Q24,AJ Barner receiving yards 26.5,O/U,
Q25,Jason Myers kicking points 8.5,O/U,
Q26,Drake Maye rushing yards 36.5,O/U,
Q27,Rhamondre Stevenson rushing yards 49.5,O/U,
Q28,Kayshon Boutte receiving yards 31.5,O/U,
Q29,Hunter Henry receptions 3.5,O/U,
Q30,Stefon Diggs receptions 4.5,O/U,
Q31,Craig Woodson solo + assisted tackles 5.5,O/U,
Q32,K'lavon Chaisson sacks 0.5,O/U,
Q33,Treveyon Henderson touchdowns 0.5,O/U,
Q34,Drake Maye rushing touchdowns 0.5,O/U,
Q35,Andy Borregales kicking points 6.5,O/U,
Q36,First TD ,SEA/NE,
Q37,First FG,SEA/NE,
Q38,First Turnover,SEA/NE,
Q39,First Timeout,SEA/NE,
Q40,First Punt,SEA/NE,
Q41,First Sack,SEA/NE,
Q42,First play from scrimmage is a rushing attempt?,Y/N,
Q43,A player gains 10 or more yards on one play?,Y/N,
Q44,Team crosses midfield (passes 50 yard line)?,Y/N,
Q45,First song “LA MuDANZA”,Y/N,
Q46,Special guest appearance by Cardi B?,Y/N,
Q47,Sam Darnold completes first 2 pass attempts?,Y/N,
Q48,Will the game be tied after 0-0?,Y/N,
Q49,Either team scores in first 6.5 minutes of the game?,Y/N,
Q50,3 total players to have a passing attempt?,Y/N,
Q51,Will there be a missed field goal?,Y/N,
Q52,New England commits first accepted penalty?,Y/N,
Q53,Special teams or defensive touchdown?,Y/N,
Q54,Will Seattle have the lead at halftime?,Y/N,
Q55,New England scores first after halftime?,Y/N,
Q56,Safety?,Y/N,
Q57,4th down conversion for a touchdown?,Y/N,
Q58,Will there be a successful 2 pt conversion?,Y/N,
Q59,Will either team kick a field goal in the 3rd quarter?,Y/N,
Q60,Points scored with under 2 minutes left in game?,Y/N,
Q61,Will there be a missed extra point kick?,Y/N,
Q62,Will there be overtime?,Y/N,
Q63,SB Champion?,SEA/NE,
Q64,Covers point spread? SEA+4.5,SEA/NE,
Q65,QB MVP?,Y/N,
Q66,Gatorade Color,BG/OY/CL/RP/NO,
Q67,Write-in score,,
